time,Input,N1_n,N1_h,N1_m,N1_v,N1_i,N1_dv,N1_refact
0.00,0.0,0.2555,0.5976,0.0380,-69.7132,-4.1500,0.2868,0.0000
0.40,0.0,0.2548,0.5989,0.0289,-69.4649,-4.1500,0.2483,0.0000
0.80,0.0,0.2540,0.6003,0.0234,-69.2320,-4.1500,0.2330,0.0000
1.20,0.0,0.2533,0.6016,0.0200,-69.0071,-4.1500,0.2249,0.0000
1.60,0.0,0.2526,0.6029,0.0179,-68.7878,-4.1500,0.2193,0.0000
2.00,0.0,0.2519,0.6041,0.0168,-68.5729,-4.1500,0.2148,0.0000
2.40,0.0,0.2513,0.6053,0.0162,-68.3621,-4.1500,0.2108,0.0000
2.80,0.0,0.2506,0.6065,0.0159,-68.1550,-4.1500,0.2071,0.0000
3.20,0.0,0.2500,0.6076,0.0159,-67.9513,-4.1500,0.2036,0.0000
3.60,0.0,0.2494,0.6087,0.0160,-67.7511,-4.1500,0.2003,0.0000
4.00,0.0,0.2488,0.6098,0.0163,-67.5541,-4.1500,0.1970,0.0000
4.40,0.0,0.2482,0.6108,0.0166,-67.3602,-4.1500,0.1939,0.0000
4.80,0.0,0.2476,0.6118,0.0170,-67.1694,-4.1500,0.1908,0.0000
5.20,0.0,0.2471,0.6128,0.0174,-66.9815,-4.1500,0.1878,0.0000
5.60,0.0,0.2466,0.6137,0.0179,-66.7966,-4.1500,0.1849,0.0000
6.00,0.0,0.2461,0.6147,0.0183,-66.6145,-4.1500,0.1821,0.0000
6.40,0.0,0.2456,0.6155,0.0188,-66.4351,-4.1500,0.1794,0.0000
6.80,0.0,0.2451,0.6164,0.0193,-66.2584,-4.1500,0.1767,0.0000
7.20,0.0,0.2447,0.6172,0.0198,-66.0844,-4.1500,0.1741,0.0000
7.60,0.0,0.2442,0.6180,0.0203,-65.9129,-4.1500,0.1715,0.0000
8.00,0.0,0.2438,0.6188,0.0208,-65.7438,-4.1500,0.1690,0.0000
8.40,0.0,0.2434,0.6196,0.0214,-65.5773,-4.1500,0.1666,0.0000
8.80,0.0,0.2430,0.6203,0.0219,-65.4130,-4.1500,0.1642,0.0000
9.20,0.0,0.2426,0.6210,0.0224,-65.2511,-4.1500,0.1619,0.0000
9.60,0.0,0.2423,0.6216,0.0230,-65.0915,-4.1500,0.1596,0.0000
10.00,0.0,0.2419,0.6223,0.0235,-64.9341,-4.1500,0.1574,0.0000
10.40,0.0,0.2416,0.6229,0.0241,-64.7788,-4.1500,0.1553,0.0000
10.80,0.0,0.2413,0.6235,0.0246,-64.6256,-4.1500,0.1532,0.0000
11.20,0.0,0.2410,0.6241,0.0252,-64.4744,-4.1500,0.1512,0.0000
11.60,0.0,0.2407,0.6246,0.0258,-64.3252,-4.1500,0.1492,0.0000
12.00,0.0,0.2404,0.6251,0.0263,-64.1780,-4.1500,0.1472,0.0000
12.40,0.0,0.2401,0.6256,0.0269,-64.0326,-4.1500,0.1454,0.0000
12.80,0.0,0.2399,0.6261,0.0275,-63.8891,-4.1500,0.1435,0.0000
13.20,0.0,0.2396,0.6266,0.0281,-63.7474,-4.1500,0.1417,0.0000
13.60,0.0,0.2394,0.6270,0.0287,-63.6074,-4.1500,0.1400,0.0000
14.00,0.0,0.2392,0.6274,0.0293,-63.4691,-4.1500,0.1383,0.0000
14.40,0.0,0.2390,0.6278,0.0299,-63.3324,-4.1500,0.1367,0.0000
14.80,0.0,0.2388,0.6282,0.0305,-63.1973,-4.1500,0.1351,0.0000
15.20,0.0,0.2387,0.6285,0.0311,-63.0638,-4.1500,0.1335,0.0000
15.60,0.0,0.2385,0.6288,0.0317,-62.9317,-4.1500,0.1321,0.0000
16.00,0.0,0.2384,0.6291,0.0323,-62.8011,-4.1500,0.1306,0.0000
16.40,0.0,0.2382,0.6294,0.0330,-62.6719,-4.1500,0.1292,0.0000
16.80,0.0,0.2381,0.6297,0.0336,-62.5441,-4.1500,0.1279,0.0000
17.20,0.0,0.2380,0.6299,0.0342,-62.4175,-4.1500,0.1266,0.0000
17.60,0.0,0.2379,0.6301,0.0349,-62.2922,-4.1500,0.1253,0.0000
18.00,0.0,0.2378,0.6303,0.0355,-62.1681,-4.1500,0.1241,0.0000
18.40,0.0,0.2377,0.6305,0.0361,-62.0452,-4.1500,0.1229,0.0000
18.80,0.0,0.2377,0.6307,0.0368,-61.9233,-4.1500,0.1218,0.0000
19.20,0.0,0.2376,0.6308,0.0374,-61.8026,-4.1500,0.1208,0.0000
19.60,0.0,0.2376,0.6310,0.0381,-61.6828,-4.1500,0.1197,0.0000
20.00,0.0,0.2375,0.6311,0.0388,-61.5641,-4.1500,0.1188,0.0000
20.40,0.0,0.2375,0.6311,0.0394,-61.4462,-4.1500,0.1178,0.0000
20.80,0.0,0.2375,0.6312,0.0401,-61.3292,-4.1500,0.1170,0.0000
21.20,0.0,0.2375,0.6313,0.0408,-61.2131,-4.1500,0.1162,0.0000
21.60,0.0,0.2375,0.6313,0.0415,-61.0977,-4.1500,0.1154,0.0000
22.00,0.0,0.2375,0.6313,0.0422,-60.9830,-4.1500,0.1147,0.0000
22.40,0.0,0.2376,0.6313,0.0429,-60.8691,-4.1500,0.1140,0.0000
22.80,0.0,0.2376,0.6313,0.0436,-60.7557,-4.1500,0.1134,0.0000
23.20,0.0,0.2377,0.6312,0.0443,-60.6429,-4.1500,0.1128,0.0000
23.60,0.0,0.2377,0.6312,0.0450,-60.5306,-4.1500,0.1123,0.0000
24.00,0.0,0.2378,0.6311,0.0457,-60.4188,-4.1500,0.1118,0.0000
24.40,0.0,0.2379,0.6310,0.0464,-60.3074,-4.1500,0.1114,0.0000
24.80,0.0,0.2380,0.6309,0.0472,-60.1963,-4.1500,0.1111,0.0000
25.20,0.0,0.2381,0.6308,0.0479,-60.0855,-4.1500,0.1108,0.0000
25.60,0.0,0.2382,0.6306,0.0486,-59.9750,-4.1500,0.1105,0.0000
26.00,0.0,0.2383,0.6304,0.0494,-59.8646,-4.1500,0.1104,0.0000
26.40,0.0,0.2385,0.6303,0.0502,-59.7543,-4.1500,0.1103,0.0000
26.80,0.0,0.2386,0.6301,0.0509,-59.6441,-4.1500,0.1102,0.0000
27.20,0.0,0.2388,0.6298,0.0517,-59.5339,-4.1500,0.1102,0.0000
27.60,0.0,0.2389,0.6296,0.0525,-59.4235,-4.1500,0.1103,0.0000
28.00,0.0,0.2391,0.6293,0.0533,-59.3131,-4.1500,0.1105,0.0000
28.40,0.0,0.2393,0.6291,0.0541,-59.2023,-4.1500,0.1107,0.0000
28.80,0.0,0.2395,0.6288,0.0549,-59.0913,-4.1500,0.1110,0.0000
29.20,0.0,0.2397,0.6285,0.0558,-58.9799,-4.1500,0.1114,0.0000
29.60,0.0,0.2399,0.6282,0.0566,-58.8680,-4.1500,0.1119,0.0000
30.00,0.0,0.2401,0.6278,0.0575,-58.7556,-4.1500,0.1124,0.0000
30.40,0.0,0.2403,0.6275,0.0583,-58.6425,-4.1500,0.1131,0.0000
30.80,0.0,0.2406,0.6271,0.0592,-58.5287,-4.1500,0.1138,0.0000
31.20,0.0,0.2408,0.6267,0.0601,-58.4140,-4.1500,0.1147,0.0000
31.60,0.0,0.2411,0.6263,0.0610,-58.2984,-4.1500,0.1156,0.0000
32.00,0.0,0.2414,0.6258,0.0619,-58.1817,-4.1500,0.1167,0.0000
32.40,0.0,0.2417,0.6254,0.0629,-58.0638,-4.1500,0.1179,0.0000
32.80,0.0,0.2419,0.6249,0.0639,-57.9447,-4.1500,0.1192,0.0000
33.20,0.0,0.2423,0.6244,0.0648,-57.8241,-4.1500,0.1206,0.0000
33.60,0.0,0.2426,0.6239,0.0658,-57.7019,-4.1500,0.1222,0.0000
34.00,0.0,0.2429,0.6234,0.0669,-57.5780,-4.1500,0.1239,0.0000
34.40,0.0,0.2432,0.6228,0.0679,-57.4522,-4.1500,0.1258,0.0000
34.80,0.0,0.2436,0.6222,0.0690,-57.3243,-4.1500,0.1279,0.0000
35.20,0.0,0.2439,0.6216,0.0701,-57.1941,-4.1500,0.1301,0.0000
35.60,0.0,0.2443,0.6210,0.0712,-57.0615,-4.1500,0.1326,0.0000
36.00,0.0,0.2447,0.6204,0.0724,-56.9262,-4.1500,0.1353,0.0000
36.40,0.0,0.2451,0.6197,0.0736,-56.7880,-4.1500,0.1382,0.0000
36.80,0.0,0.2455,0.6190,0.0748,-56.6466,-4.1500,0.1414,0.0000
37.20,0.0,0.2459,0.6183,0.0761,-56.5017,-4.1500,0.1449,0.0000
37.60,0.0,0.2463,0.6176,0.0774,-56.3530,-4.1500,0.1487,0.0000
38.00,0.0,0.2468,0.6168,0.0787,-56.2003,-4.1500,0.1528,0.0000
38.40,0.0,0.2472,0.6160,0.0801,-56.0430,-4.1500,0.1573,0.0000
38.80,0.0,0.2477,0.6152,0.0816,-55.8808,-4.1500,0.1622,0.0000
39.20,0.0,0.2482,0.6144,0.0831,-55.7133,-4.1500,0.1675,0.0000
39.60,0.0,0.2487,0.6135,0.0847,-55.5398,-4.1500,0.1734,0.0000
